행정동,구,추정소득 k=35,소득분위
중곡제3동,광진구,-0.6616079678203466,1
창제3동,도봉구,-0.6735954444448629,1
구산동,은평구,-0.6741872708283531,1
신월5동,양천구,-0.6818697184767887,1
시흥제2동,금천구,-0.6856773681300415,1
고척제2동,구로구,-0.7163952790034283,1
도봉제1동,도봉구,-0.7223457778941086,1
연희동,서대문구,-0.7288668411391813,1
망우제3동,중랑구,-0.7302645025395932,1
망우본동,중랑구,-0.7418161132929436,1
방학제2동,도봉구,-0.7516946445852859,1
방학제3동,도봉구,-0.7561363424248322,1
홍은제2동,서대문구,-0.7586828657369464,1
구로제3동,구로구,-0.7588936802099158,1
화곡제2동,강서구,-0.7685101013904259,1
정릉제3동,성북구,-0.7961202570258669,1
시흥제3동,금천구,-0.8137193681837127,1
창제2동,도봉구,-0.8289641341756557,1
화곡제4동,강서구,-0.8331893932132025,1
신월3동,양천구,-0.8572858263306435,1
인수동,강북구,-0.8663638478702339,1
화곡본동,강서구,-0.8984054500668144,1
가리봉동,구로구,-0.9999365988501451,1
