,gid,행정동코드,시군구명,행정동,학교명,학교개수,초등학생_인구,30대_인구,40대_인구,전체_인구,경도,위도,geometry,돌봄 틈새공백 인구,지역별 돌봄 틈새공백 인구 비율,돌봄틈새공백 분위
14,다사46ab40ba,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교' '서울안천초등학교' '서울금나래초등학교'],4,0.0,41.0,25.0,95.0,126.89361403254279,37.46327885310465,POINT (126.8936140325428 37.46327885310465),0.0,0.0,1
15,다사46ab40bb,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교' '서울금나래초등학교'],3,50.0,599.0,339.0,2319.0,126.8935958334069,37.46553215685338,POINT (126.8935958334069 37.46553215685338),0.19667290631063236,0.003933458126212647,8
16,다사46ab41aa,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교'],2,69.0,580.0,400.0,2548.0,126.89357763224464,37.46778545973314,POINT (126.8935776322446 37.46778545973314),0.25807633599861074,0.003740236753603054,9
17,다사46ab41ab,1154561000,금천구,독산제1동,['서울두산초등학교' '서울문성초등학교' '서울독산초등학교'],3,46.0,271.0,228.0,1287.0,126.8935594290557,37.470038761743965,POINT (126.8935594290557 37.47003876174396),0.17344120089334245,0.003770460888985705,7
18,다사46ba40aa,1154561000,금천구,독산제1동,['서울독산초등학교' '서울안천초등학교' '서울시흥초등학교' '서울금나래초등학교'],4,47.0,145.0,116.0,667.0,126.89647708544696,37.45878671282112,POINT (126.896477085447 37.45878671282112),0.17884836441794086,0.0038052843493178905,8
19,다사46ba40ab,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교' '서울안천초등학교' '서울금나래초등학교'],4,294.0,1382.0,1026.0,5457.0,126.8964589751719,37.461040019479064,POINT (126.8964589751719 37.46104001947906),1.261601802178056,0.004291162592442367,10
20,다사46ba40ba,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교' '서울안천초등학교' '서울금나래초등학교'],4,16.0,177.0,80.0,524.0,126.89644086288033,37.46329332526818,POINT (126.8964408628803 37.46329332526818),0.07631225034374231,0.004769515646483894,5
21,다사46ba40bb,1154561000,금천구,독산제1동,['서울두산초등학교' '서울독산초등학교' '서울금나래초등학교'],3,34.0,549.0,226.0,1739.0,126.89642274857204,37.46554663018844,POINT (126.896422748572 37.46554663018844),0.1473511328288357,0.004333856847906932,6
22,다사46ba41aa,1154561000,금천구,독산제1동,['서울두산초등학교' '서울문성초등학교' '서울독산초등학교'],3,14.0,112.0,67.0,458.0,126.89640463224674,37.467799934239814,POINT (126.8964046322467 37.46779993423981),0.05320935937069009,0.0038006685264778636,3
23,다사46ba41ab,1154561000,금천구,독산제1동,['서울두산초등학교' '서울문성초등학교' '서울독산초등학교'],3,0.0,129.0,134.0,668.0,126.89638651390426,37.47005323742231,POINT (126.8963865139043 37.47005323742231),0.0,0.0,1
24,다사46ba41ba,1154561000,금천구,독산제1동,['서울두산초등학교' '서울가산초등학교' '서울문성초등학교' '서울독산초등학교'],4,0.0,367.0,120.0,1077.0,126.89636839354432,37.47230653973589,POINT (126.8963683935443 37.47230653973589),0.0,0.0,1
25,다사46ba41bb,1154561000,금천구,독산제1동,['서울가산초등학교' '서울문성초등학교'],2,38.0,428.0,237.0,1904.0,126.8963502711667,37.47455984118053,POINT (126.8963502711667 37.47455984118053),0.1290656697401407,0.0033964649931615973,5
26,다사46ba42aa,1154561000,금천구,독산제1동,['서울가산초등학교' '서울문성초등학교'],2,25.0,496.0,240.0,1891.0,126.89633214677117,37.47681314175622,POINT (126.8963321467712 37.47681314175622),0.09462344066227928,0.003784937626491171,5
