행정동코드,행정동,gid,추정소득 k=35,추정소득 k=5,추정소득 k=3,소득분위3,소득분위5,소득분위35
1121581000,광장동,다사64aa49ab,0.5671863414650735,0.5126551530998513,0.557975381121709,5,5,5
1121581000,광장동,다사64ab49aa,0.8239920622833405,0.9928712476231898,0.7745790307850197,4,2,3
1121581000,광장동,다사64ab49ab,0.4093988787023713,0.6174565798233485,0.6790321645097225,4,5,6
1121581000,광장동,다사64ab49ba,1.2478332505178218,1.7221573318366854,1.5681461000932595,1,1,1
1121581000,광장동,다사64ba48bb,0.8495945122899667,0.8863143873580801,1.1114801094133562,1,2,3
1121581000,광장동,다사64ba49aa,0.7260026450158538,0.879141131546876,1.004583861513866,2,3,4
1121581000,광장동,다사64ba49ab,0.6130003273152286,1.0051009352947382,1.4594237765063236,1,2,4
1121581000,광장동,다사64ba49ba,1.5738739924390077,1.5217032412577653,0.910427931255537,2,1,1
1121581000,광장동,다사64ba49bb,1.573873992439008,1.5217032412577653,0.910427931255537,2,1,1
1121581000,광장동,다사64ba50aa,-0.13925460349303279,-0.18811541610995045,-0.1268879396622157,7,8,9
1121581000,광장동,다사64ba50ab,-0.4291240230885351,-0.18811541610995045,-0.1268879396622157,7,8,10
1121581000,광장동,다사64bb48ba,0.9795834906762664,0.903711305487018,0.9485980514489399,2,2,2
1121581000,광장동,다사64bb48bb,0.9694728190628317,0.8211399912337898,0.7853788234001402,4,4,3
1121581000,광장동,다사64bb49aa,0.7601459981221032,0.8211399912337898,0.7853788234001402,4,4,3
1121581000,광장동,다사64bb49ab,1.0422094639681079,0.858311477218242,0.8548394281777604,3,3,2
1121581000,광장동,다사64bb49ba,0.39778924732190307,0.17086322561242695,0.17086322561242692,6,6,6
1121581000,광장동,다사64bb49bb,0.41521495580435175,0.17086322561242695,0.17086322561242692,6,6,5
1121581000,광장동,다사64bb50aa,0.5534390541804455,0.17592972020942477,-0.06576795274636993,6,6,5
1121581000,광장동,다사64bb50ab,0.05698959838542552,-0.24136057329294647,-0.27717694856730146,9,9,8
1121581000,광장동,다사64bb50ba,-0.010772479545579942,-0.18811541610995042,-0.1268879396622157,7,8,8
1121581000,광장동,다사65aa48bb,1.0125520322693464,0.8211399912337898,0.7853788234001402,4,4,2
1121581000,광장동,다사65aa49aa,1.0125520322693464,0.8211399912337898,0.7853788234001402,4,4,2
1121581000,광장동,다사65aa49ab,1.042209463968108,0.858311477218242,0.8548394281777604,3,3,1
1121581000,광장동,다사65aa49ba,0.6595712422900256,1.0123454276673838,1.0650626242152101,1,1,4
1121581000,광장동,다사65aa49bb,0.6343231389215814,0.7888066600055236,0.6288827651507439,5,4,4
1121581000,광장동,다사65aa50aa,0.2662806522529257,-0.08653413658069337,-0.16603166574111686,8,7,8
1121581000,광장동,다사65aa50ab,0.2662806522529257,-0.08653413658069337,-0.16603166574111686,8,7,8
1121581000,광장동,다사65aa50ba,0.2666572503074017,-0.07081341773302083,-0.25840288018543167,8,7,7
1121581000,광장동,다사65aa50bb,-0.02700782734244644,-0.4157407499995899,-0.4854209999346522,10,10,9
1121581000,광장동,다사65aa51aa,-0.18525225511846846,-0.4157407499995899,-0.4854209999346522,10,10,10
1121581000,광장동,다사65ab49ab,0.34716493243503194,-0.0986145361322603,-0.16897091260098906,8,8,6
1121581000,광장동,다사65ab49ba,0.34716493243503194,-0.0986145361322603,-0.16897091260098906,8,8,6
1121581000,광장동,다사65ab49bb,0.3168958547310945,0.062048703795302515,0.019040517449971723,6,6,7
1121581000,광장동,다사65ab50aa,0.317238689583137,0.18812640906932765,0.23095398944666634,5,5,7
1121581000,광장동,다사65ab50ab,-0.10795234901077225,-0.40132475338378537,-0.4261043821264758,9,9,9
1121581000,광장동,다사65ab50ba,-0.23534105674903755,-0.4157407499995899,-0.4854209999346522,10,10,10
1121581000,광장동,다사65ab50bb,-0.21851799056971613,-0.4157407499995899,-0.4854209999346522,10,10,10
1121581000,광장동,다사65ba49bb,-0.09308775005231966,-0.5685162447421511,-0.5990134451426358,10,10,9
1121581000,광장동,다사65ba50aa,-0.01845996552572163,-0.4707918547763912,-0.47866503822832057,9,10,8
