행정동코드,행정동,gid,추정소득 k=35,추정소득 k=5,추정소득 k=3,소득분위35,소득분위5,소득분위3
1154561000,독산제1동,다사45bb39bb,-0.6897222481879097,-0.6638940550911346,-0.6582347051719868,10,8,8
1154561000,독산제1동,다사45bb40aa,-0.6094424288832809,-0.43323285639436976,-0.4138084195585045,8,4,4
1154561000,독산제1동,다사45bb40ab,-0.4974791327154918,-0.7108664448281911,-0.737846087774908,5,9,9
1154561000,독산제1동,다사46aa39ba,-0.6566351924639829,-0.7072179656484459,-0.7018803289566756,9,8,9
1154561000,독산제1동,다사46aa39bb,-0.6897222481879097,-0.6638940550911346,-0.6582347051719868,10,8,8
1154561000,독산제1동,다사46aa40aa,0.239514391674863,0.23677156359499776,0.4997904043545532,1,1,1
1154561000,독산제1동,다사46aa40ab,-0.4746164598706869,-0.3907190597203817,-0.18494273197018488,5,3,3
1154561000,독산제1동,다사46aa40ba,-0.322460823940282,-0.148061912995571,-0.11409466262433343,4,2,2
1154561000,독산제1동,다사46aa40bb,-0.5337601267777412,-0.718033833537327,-0.6474699909650555,6,9,7
1154561000,독산제1동,다사46aa41aa,-0.6356380856272871,-0.7459735828645344,-0.7885342108984764,9,10,9
1154561000,독산제1동,다사46aa41ab,-0.6225752028167176,-0.5766806515289754,-0.5752314385249361,8,7,7
1154561000,독산제1동,다사46ab39ba,0.23704122826409793,-0.5599526290652797,-0.5812943603220638,1,6,7
1154561000,독산제1동,다사46ab40aa,0.8425462041002678,0.9219356766748332,0.8458736899591591,1,1,1
1154561000,독산제1동,다사46ab40ab,-0.3036428075154471,-0.4059133348679526,-0.36821135808867855,3,4,4
1154561000,독산제1동,다사46ab40ba,-0.6586262606409855,-0.9440934510107745,-0.959988285508964,9,10,10
1154561000,독산제1동,다사46ab40bb,-0.5456792312242558,-0.9440934510107745,-0.959988285508964,6,10,10
1154561000,독산제1동,다사46ab41aa,-0.41897224594883337,-0.4857469116030533,-0.570471102895003,4,5,6
1154561000,독산제1동,다사46ab41ab,-0.5788195957873679,-0.5109141697107744,-0.5435571928668267,7,6,6
1154561000,독산제1동,다사46ba40aa,-0.2656191383771405,-0.46243742939507887,-0.4364188544442822,2,4,4
1154561000,독산제1동,다사46ba40ab,-0.2617974108067689,-0.17748452591272906,-0.2639166653965334,2,3,3
1154561000,독산제1동,다사46ba40ba,-0.358494120839454,0.09022633111651239,0.1922052053055012,4,2,2
1154561000,독산제1동,다사46ba40bb,-0.2803256525188924,0.15821173312086864,0.4066980322055387,3,2,2
1154561000,독산제1동,다사46ba41aa,-0.2803256525188924,0.15821173312086864,0.4066980322055387,3,2,2
1154561000,독산제1동,다사46ba41ab,-0.5030642970909639,-0.5109141697107744,-0.5435571928668267,6,6,6
1154561000,독산제1동,다사46ba41ba,-0.582023921500355,-0.5109141697107744,-0.5435571928668267,7,6,6
1154561000,독산제1동,다사46ba41bb,-0.581110526925903,-0.7397602371505585,-0.8310130259014324,7,9,10
1154561000,독산제1동,다사46ba42aa,-0.6668076645626002,-0.5716552604603858,-0.5596964459040135,10,7,6
