,행정동코드,시군구명,읍면동명,유치원개수
269,1153077000,구로구,오류제1동,4.0
270,1153080000,구로구,항동,1.0
271,1153079000,구로구,수궁동,2.0
272,1153059500,구로구,가리봉동,0.0
273,1153053000,구로구,구로제2동,1.0
274,1153074000,구로구,개봉제1동,3.0
275,1154551000,금천구,가산동,2.0
276,1154561000,금천구,독산제1동,2.0
277,1154562000,금천구,독산제2동,0.0
278,1154563000,금천구,독산제3동,2.0
279,1154564000,금천구,독산제4동,0.0
280,1154567000,금천구,시흥제1동,4.0
281,1154568000,금천구,시흥제2동,4.0
282,1154569000,금천구,시흥제3동,1.0
283,1154570000,금천구,시흥제4동,0.0
284,1154571000,금천구,시흥제5동,2.0
285,1156054000,영등포구,여의동,5.0
286,1156055000,영등포구,당산제1동,2.0
287,1156056000,영등포구,당산제2동,4.0
288,1156061000,영등포구,양평제1동,3.0
289,1156062000,영등포구,양평제2동,2.0
290,1156063000,영등포구,신길제1동,2.0
291,1156065000,영등포구,신길제3동,3.0
292,1156066000,영등포구,신길제4동,2.0
293,1156067000,영등포구,신길제5동,2.0
294,1156068000,영등포구,신길제6동,0.0
295,1156069000,영등포구,신길제7동,1.0
296,1156070000,영등포구,대림제1동,3.0
297,1156071000,영등포구,대림제2동,2.0
298,1156072000,영등포구,대림제3동,6.0
299,1156051500,영등포구,영등포본동,1.0
300,1156053500,영등포구,영등포동,3.0
301,1156058500,영등포구,도림동,3.0
302,1156060500,영등포구,문래동,1.0
303,1159052000,동작구,노량진제2동,2.0
304,1159053000,동작구,상도제1동,3.0
305,1159054000,동작구,상도제2동,1.0
306,1159055000,동작구,상도제3동,2.0
307,1159056000,동작구,상도제4동,4.0
308,1159062000,동작구,사당제1동,1.0
309,1159064000,동작구,사당제3동,2.0
310,1159065000,동작구,사당제4동,0.0
311,1159065100,동작구,사당제5동,2.0
312,1159066000,동작구,대방동,3.0
313,1159067000,동작구,신대방제1동,4.0
314,1159068000,동작구,신대방제2동,1.0
315,1159060500,동작구,흑석동,5.0
316,1159051000,동작구,노량진제1동,3.0
317,1159063000,동작구,사당제2동,1.0
318,1162052500,관악구,보라매동,1.0
319,1162054500,관악구,청림동,2.0
320,1162057500,관악구,행운동,5.0
321,1162058500,관악구,낙성대동,1.0
322,1162061500,관악구,중앙동,2.0
323,1162062500,관악구,인헌동,1.0
324,1162063000,관악구,남현동,1.0
325,1162064500,관악구,서원동,1.0
326,1162065500,관악구,신원동,2.0
327,1162066500,관악구,서림동,3.0
328,1162068500,관악구,신사동,2.0
329,1162069500,관악구,신림동,1.0
330,1162071500,관악구,난향동,0.0
331,1162072500,관악구,조원동,0.0
332,1162073500,관악구,대학동,1.0
333,1162060500,관악구,은천동,4.0
334,1162056500,관악구,성현동,3.0
335,1162059500,관악구,청룡동,2.0
336,1162077500,관악구,난곡동,3.0
337,1162074500,관악구,삼성동,2.0
338,1162076500,관악구,미성동,1.0
339,1165051000,서초구,서초1동,1.0
340,1165052000,서초구,서초2동,2.0
341,1165053000,서초구,서초3동,1.0
342,1165053100,서초구,서초4동,2.0
343,1165054000,서초구,잠원동,2.0
344,1165055000,서초구,반포본동,1.0
345,1165056000,서초구,반포1동,1.0
346,1165057000,서초구,반포2동,2.0
347,1165058000,서초구,반포3동,1.0
348,1165058100,서초구,반포4동,0.0
349,1165059000,서초구,방배본동,1.0
350,1165060000,서초구,방배1동,0.0
351,1165061000,서초구,방배2동,0.0
352,1165062000,서초구,방배3동,3.0
353,1165062100,서초구,방배4동,2.0
354,1165065100,서초구,양재1동,3.0
355,1165065200,서초구,양재2동,1.0
356,1165066000,서초구,내곡동,1.0
357,1168051000,강남구,신사동,0.0
358,1168052100,강남구,논현1동,1.0
359,1168053100,강남구,논현2동,2.0
360,1168058000,강남구,삼성1동,1.0
361,1168059000,강남구,삼성2동,0.0
362,1168060000,강남구,대치1동,2.0
363,1168063000,강남구,대치4동,0.0
364,1168064000,강남구,역삼1동,1.0
365,1168065000,강남구,역삼2동,1.0
366,1168065500,강남구,도곡1동,2.0
367,1168065600,강남구,도곡2동,3.0
368,1168066000,강남구,개포1동,1.0
369,1168069000,강남구,개포4동,1.0
370,1168072000,강남구,일원본동,3.0
371,1168073000,강남구,일원1동,1.0
372,1168074000,강남구,일원2동,2.0
373,1168075000,강남구,수서동,3.0
374,1168070000,강남구,세곡동,2.0
375,1168054500,강남구,압구정동,1.0
376,1168056500,강남구,청담동,1.0
377,1168061000,강남구,대치2동,1.0
378,1168067000,강남구,개포2동,6.0
379,1171051000,송파구,풍납1동,1.0
380,1171052000,송파구,풍납2동,2.0
381,1171053100,송파구,거여1동,0.0
382,1171053200,송파구,거여2동,2.0
383,1171054000,송파구,마천1동,1.0
384,1171055000,송파구,마천2동,3.0
385,1171056100,송파구,방이1동,1.0
386,1171056200,송파구,방이2동,3.0
387,1171056600,송파구,오륜동,3.0
388,1171057000,송파구,오금동,5.0
389,1171058000,송파구,송파1동,2.0
390,1171059000,송파구,송파2동,3.0
391,1171060000,송파구,석촌동,3.0
392,1171061000,송파구,삼전동,3.0
393,1171062000,송파구,가락본동,2.0
394,1171063100,송파구,가락1동,1.0
395,1171063200,송파구,가락2동,3.0
396,1171064100,송파구,문정1동,2.0
397,1171064200,송파구,문정2동,0.0
398,1171065000,송파구,잠실본동,0.0
399,1171069000,송파구,잠실4동,1.0
400,1171071000,송파구,잠실6동,1.0
401,1171072000,송파구,잠실7동,1.0
402,1171067000,송파구,잠실2동,2.0
403,1171068000,송파구,잠실3동,3.0
404,1171064600,송파구,장지동,2.0
405,1171064700,송파구,위례동,2.0
406,1174051500,강동구,강일동,0.0
407,1174052000,강동구,상일동,3.0
408,1174053000,강동구,명일제1동,1.0
409,1174054000,강동구,명일제2동,5.0
410,1174055000,강동구,고덕제1동,1.0
411,1174056000,강동구,고덕제2동,2.0
412,1174058000,강동구,암사제2동,2.0
413,1174059000,강동구,암사제3동,1.0
414,1174060000,강동구,천호제1동,0.0
415,1174062000,강동구,천호제3동,2.0
416,1174064000,강동구,성내제1동,2.0
417,1174065000,강동구,성내제2동,0.0
418,1174066000,강동구,성내제3동,2.0
419,1174069000,강동구,둔촌제1동,1.0
420,1174070000,강동구,둔촌제2동,2.0
421,1174057000,강동구,암사제1동,1.0
422,1174061000,강동구,천호제2동,2.0
423,1174068500,강동구,길동,5.0
424,1153078000,구로구,오류제2동,5.0
