SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
3984,1150061500,우장산동,아이파크예원유치원,서울특별시 강서구 화곡동 1159,02-2695-2940,157-010,37.549302000908554,126.83860599999771,POINT (126.8386059999977 37.54930200090855)
3749,1171053200,거여2동,아주유치원,서울특별시 송파구 거여동 295,02-3401-4880,138-110,37.48853100091317,127.14652999999826,POINT (127.1465299999983 37.48853100091317)
4253,1156067000,신길제5동,수도유치원,서울특별시 영등포구 신길5동 339,02-843-0517,150-055,37.50307800091167,126.9084029999965,POINT (126.9084029999965 37.50307800091167)
2973,1154551000,가산동,시내유치원,서울특별시 금천구 가산동 산-3,02-858-1436,153-023,37.47501500091013,126.89239500000038,POINT (126.8923950000004 37.47501500091013)
2974,1156066000,신길제4동,신길에덴유치원,서울특별시 영등포구 신길4동 4916-15,02-833-1527,150-054,37.505539000908534,126.91343400000149,POINT (126.9134340000015 37.50553900090853)
3698,1117069000,서빙고동,신동아큰나무유치원,서울특별시 용산구 서빙고동 241-94,02-790-8858,140-240,37.51891500091468,126.98901000000144,POINT (126.9890100000014 37.51891500091468)
3927,1165054000,잠원동,신반포중앙유치원,서울특별시 서초구 잠원동 60-3,02-594-2214,137-907,37.511480000913,127.01230899999916,POINT (127.0123089999992 37.511480000913)
3735,1129061000,보문동,신암유치원,서울특별시 성북구 보문동2가 30,02-928-6004,136-082,37.586632000913085,127.01726099999526,POINT (127.0172609999953 37.58663200091308)
4270,1129059000,돈암제2동,아랑유치원,서울특별시 성북구 돈암2동 636,02-927-1636,136-062,37.59771900091358,127.01778399999782,POINT (127.0177839999978 37.59771900091358)
3794,1171064600,장지동,아이코리아부속새세대유치원,서울특별시 송파구 장지동 45,02-2144-1150,138-210,37.48194200091046,127.13381700000264,POINT (127.1338170000026 37.48194200091046)
3929,1135062500,중계2.3동,아해뜰유치원,서울특별시 노원구 중계3동 515-2,02-977-6781,139-865,37.64681200091517,127.06609100000377,POINT (127.0660910000038 37.64681200091517)
4272,1159055000,상도제3동,애광유치원,서울특별시 동작구 상도3동 256-175,02-822-3450,156-033,37.497790000908566,126.93316700000248,POINT (126.9331670000025 37.49779000090857)
3754,1171056200,방이2동,애림유치원,서울특별시 송파구 방이동 141-7,02-412-7578,138-050,37.51072800091003,127.11649500000189,POINT (127.1164950000019 37.51072800091003)
3758,1130553400,삼양동,애육유치원,서울특별시 강북구 미아2동 760-1,02-988-9419,142-102,37.623461000914276,127.01768299999935,POINT (127.0176829999994 37.62346100091428)
3699,1114064500,청구동,약수유치원,서울특별시 중구 신당동 842,02-2232-1934,100-454,37.554660000909934,127.01470499999688,POINT (127.0147049999969 37.55466000090993)
2842,1147054000,목4동,양동유치원,서울특별시 양천구 목4동 748-7,02-651-7644,158-054,37.53909800091042,126.86878299999475,POINT (126.8687829999947 37.53909800091042)
3773,1171055000,마천2동,양무리유치원,서울특별시 송파구 마천2동 38-8,02-404-8664,138-122,37.49952400091555,127.14649499999452,POINT (127.1464949999945 37.49952400091555)
3180,1159067000,신대방제1동,양문유치원,서울특별시 동작구 신대방1동 607-32,02-834-6864,156-853,37.48921000091006,126.90732700000538,POINT (126.9073270000054 37.48921000091006)
2602,1165065100,양재1동,양재천사유치원,서울특별시 서초구 양재동 154-2,02-565-9515,137-130,37.47522100091361,127.03074000000458,POINT (127.0307400000046 37.47522100091361)
4274,1135064000,상계2동,양지유치원,서울특별시 노원구 상계2동 320-1,02-936-5999,139-202,37.655202000911416,127.06970300000293,POINT (127.0697030000029 37.65520200091142)
4273,1154563000,독산제3동,양지유치원,서울특별시 금천구 독산3동 899-16,02-855-4769,153-013,37.479610000914114,126.90592899999481,POINT (126.9059289999948 37.47961000091411)
2977,1156062000,양평제2동,양평유치원,서울특별시 영등포구 양평동4가 184,02-2636-9246,150-104,37.53794500090792,126.89551599999557,POINT (126.8955159999956 37.53794500090792)
2844,1147068000,신정7동,어린이의정원유치원,서울특별시 양천구 신정7동 337-2,02-2646-1133,158-077,37.50624700090712,126.86511699999603,POINT (126.865116999996 37.50624700090712)
