1,서울,1,중구,봉래동,서울특별시 중구 봉래동2가 122 서울역(1호선),1114012000,봉래동2가,1114054000,회현동
2,시청,1,중구,정동,서울특별시 중구 정동 5-5 시청역(1호선),1114016700,정동,1114052000,소공동
3,종각,1,종로구,종로1가,서울특별시 종로구 종로1가 54 종각지하철역사,1111012600,종로1가,1111061500,종로1.2.3.4가동
4,종로3가,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),1111015600,종로3가,1111061500,종로1.2.3.4가동
5,종로5가,1,종로구,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,1111016300,종로5가,1111063000,종로5.6가동
6,동대문,1,종로구,창신동,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),1111017400,창신동,1111068000,창신제2동
7,신설동,1,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),1123010100,신설동,1123053600,용신동
8,제기동,1,동대문구,제기동,서울특별시 동대문구 제기동 65 제기동역,1123010300,제기동,1123054500,제기동
9,청량리(서울시립대입구),1,동대문구,전농동,서울특별시 동대문구 전농동 620-69 청량리역,1123010400,전농동,1123070500,청량리동
10,동묘앞,1,종로구,숭인동,서울특별시 종로구 숭인동 117 동묘앞역(1호선),1111017500,숭인동,1111070000,숭인제1동
11,시청,2,중구,서소문동,서울특별시 중구 서소문동 90-1 시청역(2호선),1114016600,서소문동,1114052000,소공동
12,을지로입구,2,중구,을지로1가,서울특별시 중구 을지로1가 100-1 을지로입구역,1114010400,을지로1가,1114055000,명동
13,을지로3가,2,중구,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),1114015500,을지로3가,1114060500,을지로동
14,을지로4가,2,중구,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),1114015000,을지로4가,1114060500,을지로동
15,동대문역사문화공원,2,중구,을지로7가,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),1114014900,을지로7가,1114059000,광희동
16,신당,2,중구,신당동,서울특별시 중구 신당동 99 신당역(2호선),1114016200,신당동,1114067000,황학동
17,상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,1120010200,하왕십리동,1120052000,왕십리제2동
18,왕십리(성동구청),2,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(2호선),1120010700,행당동,1120056000,행당제1동
19,한양대,2,성동구,행당동,서울특별시 성동구 행당동 산17 17 한양대역,1120010700,행당동,1120055000,사근동
20,뚝섬,2,성동구,성수동1가,서울특별시 성동구 성수동1가 656-745 뚝섬역,1120011400,성수동1가,1120066000,성수1가제2동
21,성수,2,성동구,성수동2가,서울특별시 성동구 성수동2가 300-1 성수역,1120011500,성수동2가,1120069000,성수2가제3동
22,건대입구,2,광진구,화양동,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),1121510700,화양동,1121571000,화양동
23,구의(광진구청),2,광진구,구의동,서울특별시 광진구 구의동 245-24 2호선 구의역,1121510300,구의동,1121583000,자양제2동
24,강변(동서울터미널),2,광진구,구의동,서울특별시 광진구 구의동 546-6 2호선 강변역,1121510300,구의동,1121587000,구의제3동
25,잠실나루,2,송파구,신천동,서울특별시 송파구 신천동 15 잠실나루역,1171010200,신천동,1171071000,잠실6동
26,잠실(송파구청),2,송파구,잠실동,서울특별시 송파구 잠실동 8 잠실역(2호선),1171010200,신천동,1171071000,잠실6동
27,잠실새내,2,송파구,잠실동,서울특별시 송파구 잠실동 33 잠실새내역,1171010100,잠실동,1171068000,잠실3동
28,종합운동장,2,송파구,잠실동,서울특별시 송파구 잠실동 122 종합운동장역,1171010100,잠실동,1171072000,잠실7동
29,삼성(무역센터),2,강남,삼성동,서울특별시 강남구 삼성동 172-66 삼성역,1168010500,삼성동,1168058000,삼성1동
30,선릉,2,강남,삼성동,서울특별시 강남구 삼성동 172-66 선릉역,1168010500,삼성동,1168059000,삼성2동
31,역삼,2,강남,역삼동,서울특별시 강남구 역삼동 804 역삼역,1168010100,역삼동,1168064000,역삼1동
32,강남,2,강남,역삼동,서울특별시 강남구 역삼동 858 강남역,1168010100,역삼동,1168064000,역삼1동
33,교대(법원·검찰청),2,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(2호선),1165010800,서초동,1165051000,서초1동
34,서초,2,서초구,서초동,서울특별시 서초구 서초동 1748-5 서초역,1165010800,서초동,1165053000,서초3동
35,방배,2,서초구,방배동,서울특별시 서초구 방배동 912-14 방배역,1165010100,방배동,1165062000,방배3동
36,사당,2,동작구,사당동,서울특별시 동작구 사당동 1129 사당역(2호선),1159010700,사당동,1162063000,남현동
37,낙성대,2,관악구,봉천동,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,1162010100,봉천동,1162057500,행운동
38,서울대입구(관악구청),2,관악구,봉천동,서울특별시 관악구 봉천동 979-2 서울대입구역사,1162010100,봉천동,1162061500,중앙동
39,봉천,2,관악구,봉천동,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,,,,
40,신림,2,관악구,신림동,서울특별시 관악구 신림동 1467-10 2호선 신림역사,1162010200,신림동,1162069500,신림동
41,신대방,2,동작구,신대방동,서울특별시 동작구 신대방동 643-1 신대방역 2호선,1159010900,신대방동,1159067000,신대방제1동
42,구로디지털단지,2,구로구,구로동,서울특별시 구로구 구로동 810-3 구로디지털단지역,1153010200,구로동,1153054000,구로제3동
43,대림(구로구청),2,구로구,구로동,서울특별시 구로구 구로동 1204 대림역(2호선),1153010200,구로동,1153055000,구로제4동
