,이름,종목,구,동,X좌표,Y좌표,건축면적(m^2),연면적(m^2)
206,해공골프연습장,골프연습장,강동구,천호동,127.12868799999998,37.541191999999995,671,1263
207,한남테니스장,테니스장,용산구,한남동,127.00344299999999,37.546754,,6832
208,한강천변다목적운동장,축구장,덕양구,덕은동,126.857285,37.577877,,
209,한강시민공원잠원지구수영장,수영장,서초구,잠원동,127.00991499999999,37.519528,758,758
210,한강시민공원잠실지구수영장,수영장,서초구,잠실동,127.08594,37.517821999999995,889,889
211,응봉근린공원 한남구민테니스장,테니스장,용산구,한남동,127.003373,37.544939,,
212,이문체육문화센터,생활체육관,동대문구,이문2동,127.068762,37.602270000000004,1179,3394
213,일자산제1체육관,실내체육관,강동구,둔촌동,127.151367,37.532982000000004,1149,1462
214,잠실1수영장,수영장,송파구,잠실동,127.076076,37.514444,9318,22479
215,잠실보조경기장,육상경기장,송파구,잠실동,127.07085,37.517148999999996,2057,2057
216,잠실야구장,야구장,송파구,잠실동,127.07183899999998,37.511986,20741,45312
217,잠원스포츠파크체육관,생활체육관,서초구,잠원동,127.005283,37.511109999999995,2878,3120
218,잠원스포츠파크테니스장(실외),테니스장,서초구,잠원동,127.00483700000001,37.510694,,
219,종로구민회관,생활체육관,종로구,창신동,127.014315,37.573408,1730,11262
220,제1광장게이트볼장,게이트볼장,관악구,대학동,126.94666799999999,37.458337,,
221,정릉북악간이체육시설,테니스장,성북구,정릉동,126.994919,37.609722,,4035
222,장평근린공원테니스장(실외),테니스장,동대문구,장안동,127.07396999999999,37.566928999999995,,1145
223,장평근린공원테니스장,테니스장,동대문구,장안동,127.07396999999999,37.566928999999995,,
224,장충테니스장,테니스장,중구,장충동2가,127.002137,37.55402,191,
225,장충체육관,실내체육관,중구,장충동2가,127.00679,37.558187,5527,8299
226,장충문화체육센터,생활체육관,중구,장충동2가,127.001253,37.559942,1036,4638
227,장충리틀야구장,야구장,중구,장충동2가,127.00371799999999,37.556082,1490,1532
228,중랑구립잔디운동장,축구장,중라구,망우본동,127.113211,37.606887,,
229,중구회현체육센터수영장,수영장,중구,회현동1가,126.981645,37.556149,1115,1115
230,중구회현체육센터,생활체육관,중구,회현동1가,126.981603,37.556021,1238,5306
231,중구회현체육센타골프연습장,골프연습장,중구,회현동1가,126.98163600000001,37.555989000000004,,
232,중곡문화체육센터수영장,수영장,광진구,중곡동,127.08485,37.567921999999996,954,954
233,중곡문화체육센터,생활체육관,광진구,중곡동,127.08491299999999,37.567858,2050,8176
234,종로문화체육센터수영장,수영장,종로구,사직동,126.964652,37.574356,2083,6756
235,종로문화체육센터,생활체육관,종로구,사직동,126.964652,37.574356,2083,6756
236,종로구민회관수영장,수영장,종로구,창신동,127.014393,37.57358,1730,11262
237,창동시립테니스장,테니스장,도봉구,창4동,127.051791,37.657163,2422,2422
238,창동시립체육센터수영장,수영장,도봉구,창4동,127.050772,37.658057,1431,1431
239,창동배드민턴장,실내체육관,도봉구,창4동,127.05119599999999,37.65615,25012,25012
240,창동문화체육센터,생활체육관,도봉구,창4동,127.05086200000001,37.658294,11049,21341
241,중랑청소년수련관골프연습장,골프연습장,중랑구,면목동,127.086001,37.573246000000005,1065.88,4296
242,중랑천체육공원인라인스케이트장,롤러스케이트장,광진구,중곡동,127.076626,37.566528999999996,,
243,중랑물재생센터테니스장,테니스장,성동구,송정동,127.057363,37.560254,,1400
244,중랑물재생센터축구장,축구장,성동구,송정동,127.057363,37.560254,,3600
245,중랑물재생센터배드민턴장,실내체육관,성동구,송정동,127.057363,37.560254,560,560
246,중랑문화체육관수영장,수영장,중랑구,면목7동,127.095876,37.579504,1517,5075
247,중랑문화체육관,생활체육관,중랑구,면목7동,127.095786,37.579293,1517,5075
248,중랑구민체육센터수영장,수영장,중랑구,묵동,127.08737099999999,37.61525,1395,6197
249,중랑구민체육센터,생활체육관,중랑구,묵동,127.08746299999999,37.615132,1500,6302
250,잠원스포츠파크테니스장(실내),테니스장,서초구,잠원동,127.00483700000001,37.510694,3120,
251,잠실종합운동장,육상경기장,송파구,잠실동,127.073626,37.514802,33957,111792
252,잠실실내체육관,실내체육관,송파구,잠실동,127.07596299999999,37.516185,7085,20096
253,잠실2수영장,수영장,송파구,잠실동,127.076251,37.513785999999996,4739,6024
254,일자산제2체육관,실내체육관,강동구,둔촌동,127.149746,37.529462,340,325
255,응봉축구장,축구장,성동구,금호동1가,127.02083799999998,37.555704,,5500
256,응봉테니스장,테니스장,성동구,응봉동,127.036676,37.551451,,1225
257,반포종합운동장테니스장(실외),테니스장,서초구,반포동,126.99557,37.501178,,
258,서초구민체육센터골프연습장,골프연습장,서초구,반포동,126.990626,37.498806,1724,7380
259,서초구민체육센터,생활체육관,서초구,반포동,126.990504,37.498792,1724,7380
260,서일스포츠센터수영장,수영장,서초구,서초4동,127.0219,37.498536,1658,4301
261,서일스포츠센터,실내체육관,서초구,서초4동,127.02188600000001,37.498567,1658,4301
262,서울월드컵경기장보조경기장,축구장,마포구,성산동,126.89821699999999,37.571241,473,1238
263,서울월드컵경기장,축구장,마포구,성산동,126.897226,37.56825,56726,164814
264,서울여성플라자스포츠센터체육관,생활체육관,동작구,대방동,126.927173,37.511774,3718,22520
265,서울여성프라자수영장,수영장,동작구,대방동,126.927195,37.511648,3718,22520
266,서울여성능력개발원체육관,생활체육관,광진구,자양동,127.066805,37.539468,1896,7406
267,서울여성능력개발원수영장,수영장,광진구,자양동,127.066422,37.539388,896,7406
268,살곶이체육공원축구장,축구장,성동구,사근동,127.04948200000001,37.554315,,9500
269,살곶이체육공원롤러스케이트장,롤러스케이트장,성동구,사근동,127.04721599999999,37.553835,,
270,살곶이정,국궁장,성동구,행당동,127.040853,37.552846,,
271,사당문화회관체육관,생활체육관,동작구,사당동,126.96962099999999,37.484719,567,2990
272,사당문화회관수영장,수영장,동작구,사당동,126.969598,37.484746,567,2990
273,불암산종합스타디움야구장,야구장,노원구,공릉동,127.08493700000001,37.639264000000004,5400,5400
274,북악골프연습장,골프연습장,성북구,정릉동,126.997993,37.602573,570,946
275,봉은테니스장,테니스장,강남구,삼성동,127.05571299999998,37.513892,,2500
276,보라매공원테니스장,테니스장,동작구,신대방동,126.920484,37.491275,949,
277,서울곰두리체육센터,생활체육관,송파구,오금동,127.135433,37.500479999999996,1873,7603
278,서부여성발전센터수영장,수영장,양천구,신월1동,126.82993300000001,37.534240999999994,735,3472
279,서대문체육회관체육관,생활체육관,서대문구,홍은동,126.931576,37.580782,3689,5031
280,서대문체육회관수영장,수영장,서대문구,홍은동,126.931304,37.580535999999995,3689,
281,서대문체육회관(4층)골프연습장,골프연습장,서대문구,홍은동,126.93158100000001,37.580897,3689,5031
282,서대문청소년수련관체육관,생활체육관,서대문구,연희동,126.93801599999999,37.579107,1520,4937
283,서대문청소년수련관수영장,수영장,서대문구,연희동,126.938221,37.579103,1520,4937
284,서대문구립인조잔디구장,축구장,서대문구,홍은동,126.930594,37.579984,22280,
285,삼청테니스장,테니스장,종로구,삼청동,126.98273799999998,37.58889,,3774
286,서울시립청소년수련관수영장,수영장,마포구,성산동,126.901854,37.566144,1113.5,5209
287,서울숲스케이트파크,롤러스케이트장,성동구,성수1가1동,127.04236999999999,37.545032,,1773
288,서울숲게이트볼장,게이트볼장,성동구,성수1가1동,127.040085,37.546313,,1000
289,서울수중재활센터수영장,수영장,강동구,고덕1동,127.148701,37.555254999999995,1239,1882
290,서울근로청소년복지관인조잔디축구장,축구장,광명시,하안동,126.869684,37.467896,,
291,서울근로청소년복지관골프연습장,골프연습장,광명시,하안동,126.86931000000001,37.46883,,
292,서울공항정,국궁장,강서구,화곡6동,126.84958300000001,37.55084,97,97
293,서울곰두리체육센터수영장,수영장,송파구,오금동,127.135478,37.500617,1873,7603
294,서울곰두리체육센터골프연습장,골프연습장,송파구,오금동,127.135433,37.500479999999996,1873,7603
295,방배열린문화센터수영장,수영장,서초구,방배동,126.992124,37.488999,,13713
296,방화동 구립테니스장,테니스장,강서구,방화3동,126.81561299999998,37.583759,,
297,보라매공원게이트볼장,게이트볼장,동작구,신대방동,126.918132,37.491783,,1190
298,보라매공원인조구장,축구장,동작구,신대방동,126.918948,37.491459000000006,,7140
299,보라매공원인라인스케이트장,롤러스케이트장,동작구,신대방동,126.92133799999999,37.491298,2595,
300,방배열린문화센터골프연습장,골프연습장,서초구,방배동,126.992189,37.488843,,13713
301,방배배수지축구장,축구장,서초구,방배동,126.992341,37.472501,30353,
302,마곡유수지테니스장,테니스장,강서구,가양1동,126.83718300000001,37.571255,,
303,무학봉체육관,실내체육관,중구,신당동,127.024561,37.562337,603,791
304,목동테니스장,테니스장,양천구,목동,126.87785,37.527958,,
305,목동청소년수련관체육관,생활체육관,양천구,목1동,126.875483,37.530771,3342,6203
306,목동청소년수련관수영장,수영장,양천구,목1동,126.87556399999998,37.530584999999995,3342,6203
307,목동운동장,육상경기장,양천구,목동,126.883017,37.530605,"13,455","22,124"
308,목동야구장,야구장,양천구,목1동,126.88087,37.530937,3559,19114
309,목동실내빙상장,빙상장,양천구,목1동,126.879267,37.530796,6017,14700
310,목동문화체육센터수영장,수영장,양천구,목동,126.869258,37.542907,1062,3059
311,목동문화체육센터골프연습장,골프연습장,양천구,목동,126.869107,37.542898,1062,3059
312,수서청소년수련관골프연습장,골프연습장,강남구,수서동,127.088458,37.483509999999995,2095,6391
313,수락정,국궁장,노원구,상계동,127.08985,37.679626,49,49
314,송파한양1차APT테니스장,테니스장,송파구,송파동,127.113238,37.504932000000004,,1472
315,송파청소년수련관체육관,생활체육관,송파구,문정동,127.111322,37.489748,,7422
