,이름,종목,구,동,X좌표,Y좌표,건축면적(m^2),연면적(m^2)
388,강남스포츠문화센터골프연습장,골프연습장,강남구,수서동,127.10531200000001,37.488957,1571,9914
389,강남스포츠문화센터수영장,수영장,강남구,수서동,127.105342,37.488925,1571,9914
390,강남스포츠문화센터체육관,생활체육관,강남구,수서동,127.10525,37.489101,1571,9914
391,강남주민편익시설,생활체육관,강남구,일원1동,127.09248999999998,37.493559000000005,2803,9716
392,구로청소년수련관수영장,수영장,구로구,구로동,126.883344,37.491305,1254,4986
393,강남청담문화센터골프연습장,골프연습장,강남구,청담동,127.0493,37.525108,1087,4030
394,강동구강동구립테니스장,테니스장,강동구,상일동,127.16414099999999,37.551234,46,3590
395,강동구강일테니스장,테니스장,강동구,강일동,127.163754,37.574785999999996,,
396,강동청소년회관수영장,수영장,강동구,명일1동,127.146193,37.549744,552,3740
397,강북구민운동장,축구장,강북구,번동,127.03728999999998,37.629386,621,621
398,강북문화예술회관,생활체육관,강북구,수유동,127.013342,37.640854,5825,11267
399,강북문화예술회관수영장,수영장,강북구,수유동,127.013001,37.640735,621,621
400,강북웰빙스포츠센터,생활체육관,강북구,번2동,127.03801599999998,37.630332,3465,6828
401,강북웰빙스포츠센터수영장,수영장,강북구,번2동,127.037704,37.630671,3465,6828
402,강북청소년수련관,생활체육관,강북구,수유동,127.00637900000001,37.646004,1778,5542
403,강북청소년수련관수영장,수영장,강북구,수유동,127.006464,37.646104,1778,5542
404,강서개화축구장,축구장,계양구,하야동,126.78736799999999,37.578284000000004,9876,9876
405,강서구민올림픽체육센터,생활체육관,강서구,등촌3동,126.850574,37.559695,1796,11357
406,강서구민올림픽체육센터골프연습장,골프연습장,강서구,등촌3동,126.85053500000001,37.559619,1796,11357
407,강서구민올림픽체육센터수영장,수영장,강서구,등촌3동,126.85055,37.559777000000004,1796,894
408,개운산스포츠센터,생활체육관,성북구,종암동,127.02615300000001,37.596782,1524,5846
