0,둘리뮤지엄,37.65243153,127.02763970000001,서울특별시 도봉구 시루봉로 1길 6,도봉구,도봉구,시루봉로,1132010500,쌍문동,1132066000,쌍문제1동
1,서대문자연사박물관,37.57675252,126.9378582,서울특별시 서대문구 연희로 32길 51,서대문구,서대문구,연희로,1141011700,연희동,1141061500,연희동
2,서대문형무소역사관,37.57244171,126.9595412,서울특별시 서대문구 통일로251,서대문구,서대문구,주의!!서울특별시 서대문구 통일로251,1141010900,현저동,1141052000,천연동
3,서울교육박물관,37.58103147,126.983694,서울특별시 종로구 북촌로 5길 48,서울특별시특별시교육청,서울특별시특별시교육청,북촌로,1111014300,화동,1111054000,삼청동
4,서울상상나라,37.54945787,127.08626090000001,서울특별시 광진구 능동로 216,서울특별시특별시,서울특별시특별시,능동로,1121510200,능동,1121578000,능동
5,서울약령시한의약박물관,37.58047191,127.0373165,서울특별시 동대문구 약령중앙로26,동대문구청,동대문구청,주의!!서울특별시 동대문구 약령중앙로26,1123010300,제기동,1123054500,제기동
6,서울역사박물관,37.57087947,126.96882920000002,서울특별시 종로구 새문안로 55(신문로2가 2-1),서울특별시특별시,서울특별시특별시,새문안로,1111012100,신문로2가,1111053000,사직동
7,성북선잠박물관,37.59322963,126.9982179,서울특별시 성북구 성북로 96(성북동),서울특별시특별시 성북구청,서울특별시특별시 성북구청,성북로,1129010100,성북동,1129052500,성북동
8,손기정기념관,37.55562546,126.9638899,서울특별시 중구 손기정로 101,서울특별시특별시 중구청,서울특별시특별시 중구청,손기정로,1114017400,만리동2가,1114068000,중림동
9,수도박물관,37.64033477,126.9380085,서울특별시 성동구 왕십리로 27,서울특별시특별시,서울특별시특별시,왕십리로,1120011400,성수동1가,1120065000,성수1가제1동
10,은평역사한옥박물관,37.58318496,126.98895490000001,서울특별시 은평구 연서로50길 8,서울특별시특별시 은평구,서울특별시특별시 은평구,연서로50길,1138011400,진관동,1138069000,진관동
11,종로구립 고희동 미술자료관,37.57126473,127.03504209999998,서울특별시 종로구 창덕궁 5길 40,종로구청,종로구청,창덕궁,1111014900,원서동,1111060000,가회동
12,청계천박물관,37.5154282,127.1208007,서울특별시 성동구 청계천로 530,서울특별시특별시,서울특별시특별시,청계천로,1120010500,마장동,1120054000,마장동
13,한성백제박물관,37.56787164,126.85103059999999,서울특별시 송파구 위례성대로 71,서울특별시특별시,서울특별시특별시,위례성대로,1171011100,방이동,1171056600,오륜동
14,허준박물관,37.58160503,126.9852494,서울특별시 강서구 허준로 87,강서구청,강서구청,허준로,1150010400,가양동,1150060400,가양제2동
15,가회민화박물관,37.48766827,127.06574209999998,서울특별시 종로구 북촌로 52,최진옥,최진옥,북촌로,1111014600,가회동,1111060000,가회동
