,행정동코드,시군구명,행정동명,공동주택_개수,공동주택_건축면적(㎡),공동주택_건폐율(%),공동주택_연면적(㎡),공동주택_용적률(%),공동주택_세대수,공동주택_가구수,단독주택_개수,단독주택_건축면적(㎡),단독주택_건폐율(%),단독주택_가구수,공장_개수,공장_건축면적(㎡),동별총학원,동별입시학원수,버스정류장,도서관,박물관/미술관,공원,지하철역,병원수,유통개수,5~9세,10~14세,5~14세,아동 비율
140,1130563500,강북구,수유3동,2448,239.0559812091504,44.71347123733669,158.04018576062077,724.2058455882332,10.544117647058824,0.0,6153.0,71.91685494880531,28.098113843490964,2.2408581179912237,3.0,172.56000000000003,47.13059496821446,10.448044515607412,18.0,0.0,0.0,0.0,1.0,51,0,2746,2233,4979,0.109962676
141,1130564500,강북구,우이동,2781,247.7855005393745,44.106326342322994,155.579680108594,741.015105357783,10.499820208558072,0.002876663070837828,6718.0,72.37071576362001,27.526429940756195,2.2008038106579337,3.0,172.56000000000003,41.559885223291424,9.213113714548422,54.0,0.0,1.0,1.0,0.0,25,0,668,707,1375,0.05784359099999999
142,1130566000,강북구,인수동,2448,239.0559812091504,44.71347123733669,158.04018576062077,724.2058455882332,10.544117647058824,0.0,6153.0,71.91685494880531,28.098113843490964,2.2408581179912237,3.0,172.56000000000003,63.00016170199274,13.966055264033988,18.0,0.0,0.0,0.0,0.0,12,0,776,817,1593,0.066017406
143,1132051100,도봉구,창제1동,1451,363.8851474844941,36.18374962095106,143.49761228807702,2449.0222769124707,26.528600964851826,0.10406616126809097,2084.0,72.73012955854124,42.37975868522081,2.388675623800384,29.0,426.5503448275861,69.42002568245394,15.97205978103598,59.0,3.0,0.0,1.0,1.0,46,1,410,468,878,0.044604755
144,1132051200,도봉구,창제2동,1451,363.8851474844941,36.18374962095106,143.49761228807702,2449.0222769124707,26.528600964851826,0.10406616126809097,2084.0,72.73012955854124,42.37975868522081,2.388675623800384,29.0,426.5503448275861,81.28591624867367,18.702146836114593,59.0,2.0,0.0,1.0,0.0,11,0,425,490,915,0.054231863
145,1132051300,도봉구,창제3동,1451,363.8851474844941,36.18374962095106,143.49761228807702,2449.0222769124707,26.528600964851826,0.10406616126809097,2084.0,72.73012955854124,42.37975868522081,2.388675623800384,29.0,426.5503448275861,39.19665163499566,9.018309298736376,59.0,2.0,0.0,0.0,0.0,17,0,594,615,1209,0.067440174
146,1132051400,도봉구,창제4동,1451,363.8851474844941,36.18374962095106,143.49761228807702,2449.0222769124707,26.528600964851826,0.10406616126809097,2084.0,72.73012955854124,42.37975868522081,2.388675623800384,29.0,426.5503448275861,74.21418925436481,17.07509404842288,59.0,4.0,0.0,0.0,0.0,21,1,318,342,660,0.041190788
147,1132051500,도봉구,창제5동,1451,363.8851474844941,36.18374962095106,143.49761228807702,2449.0222769124707,26.528600964851826,0.10406616126809097,2084.0,72.73012955854124,42.37975868522081,2.388675623800384,29.0,426.5503448275861,68.54445295167358,15.770609264975402,59.0,1.0,0.0,0.0,1.0,25,1,691,696,1387,0.053643255
148,1132052100,도봉구,도봉제1동,722,222.79623684210515,39.295932132964005,139.3833765096951,39985.13091966757,21.259002770083104,0.27008310249307477,1472.0,72.25870584239138,31.838049852581534,1.9639945652173914,4.0,252.0,59.00447031445935,13.575663764830715,55.0,2.0,0.0,0.0,0.0,21,2,505,420,925,0.055992735999999994
149,1132052200,도봉구,도봉제2동,722,222.79623684210515,39.295932132964005,139.3833765096951,39985.13091966757,21.259002770083104,0.27008310249307477,1472.0,72.25870584239138,31.838049852581534,1.9639945652173914,4.0,252.0,76.24197272595737,17.541643556477286,55.0,2.0,0.0,1.0,1.0,4,0,363,442,805,0.077247865
