관리건축물대장PK,행정동코드,행정동,대지위치,도로명대지위치,주용도코드명,기타용도,층번호명,면적(㎡),Latitude,Longitude,geometry
11305-100189389,1130557500,삼각산동,서울특별시 강북구 미아동 812-1번지, 서울특별시 강북구 삼양로27길 35,영유아보육시설,노유자시설(영유아보육시설),1층,760.88,37.6183188,127.0195559,POINT (127.0195559 37.6183188)
11305-100204562,1130557500,삼각산동,서울특별시 강북구 미아동 811번지, 서울특별시 강북구 삼양로27길 80,아파트,"주민공동시설,문고",1층,95.01,37.6185492,127.0194937,POINT (127.0194937 37.6185492)
