,ADMI_CD,ADMI_NM,CTY_NM,CNT0514
600,11650510,서초1동,서초구,1925
601,11440630,신수동,마포구,1738
602,11590640,사당3동,동작구,2014
603,11500520,등촌1동,강서구,1144
604,11380650,수색동,은평구,444
605,11590550,상도3동,동작구,1400
606,11260620,묵1동,중랑구,2988
607,11230750,이문2동,동대문구,1683
608,11230570,전농2동,동대문구,1593
609,11545670,시흥1동,금천구,2116
610,11590670,신대방1동,동작구,2226
611,11350700,상계8동,노원구,2234
612,11650550,반포본동,서초구,1245
613,11680656,도곡2동,강남구,4295
614,11170580,효창동,용산구,736
615,11740650,성내2동,강동구,1109
616,11215850,구의1동,광진구,949
617,11110710,숭인2동,종로구,297
618,11380560,구산동,은평구,2396
619,11710566,오륜동,송파구,2460
620,11350619,중계본동,노원구,3359
621,11440655,서강동,마포구,1855
622,11740640,성내1동,강동구,1662
623,11110680,창신2동,종로구,331
624,11215760,중곡3동,광진구,875
625,11380510,녹번동,은평구,2410
626,11470570,신월2동,양천구,1737
627,11710590,송파2동,송파구,1812
628,11710531,거여1동,송파구,869
629,11140635,약수동,중구,1123
630,11740580,암사2동,강동구,1163
631,11620605,은천동,관악구,2691
632,11470540,목4동,양천구,2468
633,11200660,성수1가2동,성동구,850
634,11230650,장안1동,동대문구,2626
635,11500620,공항동,강서구,2157
636,11530540,구로3동,구로구,1505
637,11140605,을지로동,중구,44
638,11305608,번3동,강북구,1221
639,11620565,성현동,관악구,2717
640,11740570,암사1동,강동구,2453
641,11680740,일원2동,강남구,1578
642,11740620,천호3동,강동구,1197
643,11470670,신정6동,양천구,3223
644,11230705,청량리동,동대문구,1047
645,11110630,종로5.6가동,종로구,146
646,11710642,문정2동,송파구,1512
647,11230730,휘경2동,동대문구,1694
648,11305645,우이동,강북구,1331
649,11500530,등촌2동,강서구,1441
650,11290555,삼선동,성북구,1606
651,11545510,가산동,금천구,627
652,11200540,마장동,성동구,1409
653,11440700,망원2동,마포구,1461
654,11710647,위례동,송파구,4636
655,11710570,오금동,송파구,2920
656,11170555,청파동,용산구,893
657,11215780,능동,광진구,514
658,11680565,청담동,강남구,2402
659,11170590,용문동,용산구,784
660,11290725,월곡2동,성북구,1377
661,11620585,낙성대동,관악구,807
662,11215770,중곡4동,광진구,1638
663,11305535,미아동,강북구,1096
664,11350611,하계1동,노원구,2026
665,11650520,서초2동,서초구,1647
666,11410685,홍은2동,서대문구,1754
667,11350670,상계5동,노원구,1571
668,11410555,북아현동,서대문구,1251
669,11140625,다산동,중구,682
670,11470640,신정3동,양천구,4737
671,11530720,고척1동,구로구,1694
672,11380625,역촌동,은평구,3381
673,11320700,방학2동,도봉구,1224
674,11710690,잠실4동,송파구,3221
675,11140665,동화동,중구,811
676,11200650,성수1가1동,성동구,1027
677,11620735,대학동,관악구,840
678,11410655,홍제2동,서대문구,994
679,11215860,구의2동,광진구,2093
680,11350630,상계1동,노원구,2906
681,11290780,장위3동,성북구,1519
682,11170625,한강로동,용산구,829
683,11260540,면목4동,중랑구,1173
684,11560610,양평1동,영등포구,1027
685,11560650,신길3동,영등포구,1174
686,11740540,명일2동,강동구,2068
687,11230740,이문1동,동대문구,964
688,11590650,사당4동,동작구,703
689,11590630,사당2동,동작구,1706
