,도서관명,위도,경도,시군구명,소재지도로명주소,운영기관명,동
2874,꿈이있는작은도서관,37.586071000000004,126.947157,서대문구,"서울특별시 서대문구 통일로34길 27, 홍제2동주민센터 2층",서대문구도시관리공단,통일로34길
2875,문화촌어린이도서관,37.593746,126.94748500000001,서대문구,"서울특별시 서대문구 세검정로4길 32, 홍제3동주민센터 3층",서대문구도시관리공단,세검정로4길
2876,파랑새작은도서관,37.57407,126.92053100000001,서대문구,"서울특별시 서대문구 모래내로 15길 37, 남가좌1동주민센터 2층",서대문구도시관리공단,모래내로
2877,늘푸른열린작은도서관,37.574288,126.90796200000001,서대문구,"서울특별시 서대문구 수색로 100-55, 북가좌1동주민센터 2층",서대문구도시관리공단,수색로
2878,가슴따뜻한작은도서관,37.581453,126.908976,서대문구,"서울특별시 서대문구 응암로1길 10, 북가좌2동주민센터 2층",서대문구도시관리공단,응암로1길
2879,이팝꽃향기작은도서관,37.583901000000004,126.91023,서대문구,서울특별시 서대문구 불광천길 204,서대문구도시관리공단,불광천길
3016,마포중앙도서관,37.564019,126.908442,마포구,서울특별시 마포구 성산로 128,서울특별시 마포구청,성산로
3017,마포구립하늘도서관,37.566379,126.90161599999999,마포구,"서울특별시 마포구 월드컵로 212, 12층",서울특별시 마포구청,월드컵로
3018,마포구립서강도서관,37.547737,126.93205900000001,마포구,"서울특별시 마포구 독막로165, 3~5층",(사)청소년지원네트워크,"독막로165,"
3019,마포어린이영어도서관,37.539535,126.951922,마포구,"서울특별시 마포구 도화4길 53, 2층",(학)서강대학교,도화4길
3020,꿈나래어린이영어도서관,37.555234999999996,126.90568400000001,마포구,"서울특별시 마포구 월드컵로13길 80, 2층",㈜다르앤코,월드컵로13길
3021,꿈을이루는작은도서관,37.547105,126.952155,마포구,"서울특별시 마포구 마포대로7길 18, 2층",(사)한국청소년지원네트워크,마포대로7길
3022,아름드리작은도서관,37.560313,126.90231599999998,마포구,"서울특별시 마포구 방울내로7길 11, 1층",(사)한국청소년지원네트워크,방울내로7길
3023,해오름작은도서관,37.555848,126.94236799999999,마포구,"서울특별시 마포구 신촌로26길 10, 2층",(사)한국청소년지원네트워크,신촌로26길
3024,성메작은도서관,37.56861,126.908975,마포구,"서울특별시 마포구 월드컵북로30길 22, 2층",(사)한국청소년지원네트워크,월드컵북로30길
3025,성산글마루작은도서관,37.569702,126.90142,마포구,"서울특별시 마포구 월드컵북로 235, 3층",(사)한국청소년지원네트워크,월드컵북로
3026,늘푸른소나무작은도서관,37.542233,126.95549399999999,마포구,"서울특별시 마포구 백범로 227, 3층",(사)마포문화원,백범로
3027,복사골작은도서관,37.539535,126.951922,마포구,"서울특별시 마포구 도화4길 53, 3~4층",(학)서강대학교,도화4길
