,공원명,위도,경도,지역,공원주소,동
74,용왕산근린공원,37.5429593,126.8783125,양천구,서울특별시 양천구 목동 199-51,목동
75,사직근린공원,37.5759864,126.96740179999999,종로구,서울특별시 종로구 사직로9길 5,사직로9길
76,우장산근린공원,37.5541932,126.844932,강서구,서울특별시 강서구 내발산동 산4-5,내발산동
77,삼일근린공원,37.4860183,126.9743686,동작구,서울특별시 동작구 사당동 산24-17,사당동
78,삼청근린공원,37.5895821,126.9842875,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,북촌로
79,인왕산도시자연공원,37.5849001,126.9578438,종로구,서울특별시 종로구 옥인동 산 3-1 ,옥인동
80,상도근린공원,37.492298999999996,126.9385469,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,성대로6사길
81,일자산도시자연공원,37.5431657,127.1574587,강동구,서울특별시 강동구 동남로 660(일자산공원),동남로
82,쌍문근린공원,37.6531456,127.02713159999999,도봉구,서울특별시 도봉구 쌍문동 산80,쌍문동
83,수락산도시자연공원,37.699232,127.08136329999999,노원구,서울특별시 노원구 상계동 산3-1,상계동
84,송파나루근린공원(석촌호수),37.5069328,127.09830020000001,송파구,서울특별시 송파구 잠실로 148 (잠실동) ,잠실로
85,선유도근린공원,37.543418,126.90014,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,선유로
86,손기정체육공원,37.5560189,126.9652702,중구,서울특별시 중구 손기정로 101 ,손기정로
87,성북근린공원,37.5948509,127.0078625,성북구,서울특별시 성북구 돈암동 616-1055,돈암동
88,봉제산공원,37.5421979,126.85178359999999,강서구,서울특별시 강서구 화곡동 산41-6,화곡동
89,서울창포원,37.689585,127.04793799999999,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,마들로
90,북서울꿈의숲,37.623335499999996,127.0407344,강북구,서울특별시 강북구 월계로 173,월계로
91,서서울호수공원,37.5278392,126.83047890000002,양천구,서울특별시 양천구 남부순환로64길 20 (신월동),남부순환로64길
92,중랑캠핑숲,37.6049896,127.1093075,중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),송림길
93,솔밭근린공원,37.652331,127.01162409999999,강북구,서울특별시 강북구 우이동 80번지 일대,우이동
94,금천체육공원(관악산),37.468164,126.908681,금천구,서울특별시 금천구 독산동 산118-4(금천체육공원),독산동
95,금천폭포근린공원,37.446866299999996,126.90401270000001,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),시흥대로38길
96,만수천공원(관악산),37.4734274,126.9090028,금천구,서울특별시 금천구 독산동 산8 일대,독산동
97,발바닥공원,37.6597135,127.03198200000001,도봉구,서울특별시 도봉구 시루봉로6길 33,시루봉로6길
98,월천근린공원,37.647388899999996,127.0509895,도봉구,서울특별시 도봉구 창동 28번지,창동
99,용두근린공원,37.5732791,127.03900420000001,동대문구,서울특별시 동대문구 용두동 34-1번지 일대,용두동
100,상암근린공원,37.576010600000004,126.8859012,마포구,서울특별시 마포구 상암동 1761,상암동
101,와우근린공원,37.5517298,126.9289936,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),창전동
102,금호근린공원,37.5494726,127.01894569999999,성동구,서울특별시 성동구 장터1길 18,장터1길
103,달맞이근린공원,37.543564,127.0212054,성동구,서울특별시 성동구 옥수동 산1-1,옥수동
104,문정근린공원,37.4862156,127.12758190000001,송파구,서울특별시 송파구 문정동 18-4,문정동
105,문화예술공원,37.467653999999996,127.03051699999999,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),바우뫼로12길
106,세종로공원,37.5735,126.9758875,종로구,서울특별시 종로구 세종대로 189 (우) 03172,세종대로
107,샘말공원(관악산),37.4642128,126.938511,관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,대학동
108,초안산생태공원,37.647948299999996,127.0405382,도봉구,서울특별시 도봉구 창동 산24,창동
109,푸른수목원,37.483028999999995,126.82406999999999,구로구,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,연동로
110,서오능도시자연공원,37.637482299999995,126.91343379999999,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,구파발동
111,청계산도시자연공원,37.422434700000004,127.0424726,서초구,서울특별시 서초구 원지동 산 33,원지동
112,개화근린공원,37.581391700000005,126.8068278,강서구,서울특별시 강서구 개화동 산17,개화동
113,아차산생태공원,37.551714200000006,127.1010031,광진구,서울특별시 광진구 광장동 370,광장동
114,인능산도시자연공원,37.4482109,127.0666632,서초구,서울특별시 서초구 내곡동 산12-404,내곡동
115,구룡산,37.468947299999996,127.061567,서초구,서울특별시 서초구 염곡동 산25-1,염곡동
116,우면산도시자연공원,37.470484,127.0091324,서초구,서울특별시 서초구 우면동 산35-1,우면동
117,향림근린공원,37.6293824,126.9240693,은평구,서울특별시 은평구 진관동 산55,진관동
118,신사근린공원,37.5920771,126.91029479999999,은평구,서울특별시 은평구 신사동 산80-4,신사동
119,문화역 서울284,37.5558722,126.9715923,중구,서울특별시 중구 통일로 1 서울역,통일로
120,광평근린공원,37.4880445,127.092184,강남구,서울특별시 강남구 수서동 산10-1,수서동
121,청담근린공원,37.521325899999994,127.052453,강남구,서울특별시 강남구 청담동 66,청담동
122,허브천문공원,37.5372715,127.15339509999998,강동구,서울특별시 강동구 둔촌동 산94,둔촌동
123,연신내물빛공원,37.619052,126.9207354,은평구,서울특별시 은평구 통일로 849,통일로
124,나들이근린공원,37.6054218,127.11326100000001,중랑구,서울특별시 중구 망우동 산 30-7 일대,망우동
125,숭인근린공원,37.5764419,127.0178267,종로구,서울특별시 종로구 숭인동 58,숭인동
126,서일대뒷산공원,37.5877155,127.0987817,중랑구,서울특별시 중랑구 면목동 산19,면목동
127,용마도시자연공원(사가정공원),37.579762200000005,127.095997,중랑구,서울특별시 중랑구 면목7동 산50 ,면목7동
128,문화비축기지,37.571718477306064,126.89324548146364,마포구,서울특별시 마포구 증산로 87,증산로
129,경춘선숲길,37.627077,127.07648200000001,,노원구 공릉2동 산 82-2,공릉2동
130,율현공원,37.472332,127.11559399999999,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),율현동
131,서울로7017,,,중구,서울로7017,주의!!서울로7017
