,시설명,위도,경도,소재지도로명주소,운영기관명,관리기관명,동
41,삼성출판박물관,37.56222376,126.9878243,서울특별시 종로구 비봉길2-2,김종규,김종규,주의!!서울특별시 종로구 비봉길2-2
42,샬트르성바오로수녀회 역사박물관,37.56627097,126.9803939,서울특별시 명동길 74-2,김영희,김영희,주의!!서울특별시 명동길 74-2
43,서울그레뱅뮤지엄,37.57880969,126.99702079999999,서울특별시 을지로 23,그레뱅코리아,그레뱅코리아,주의!!서울특별시 을지로 23
44,서울대학교병원 의학박물관,37.51889593,127.115509,서울특별시 종로구 대학로 101,서울특별시대학교병원,서울특별시대학교병원,대학로
45,서울올림픽기념관,37.508122799999995,127.0618874,서울특별시 송파구 올림픽로 424,국민체육진흥공단,국민체육진흥공단,올림픽로
46,세계골프역사박물관,37.58096684,126.98180020000001,서울특별시 테헤란로 528(대치동 945-5),㈜슈페리어,㈜슈페리어,주의!!서울특별시 테헤란로 528(대치동 945-5)
47,세계장신구박물관,37.57981529,127.0046233,서울특별시 종로구 북촌로 5나길 2,설립자,설립자,북촌로
48,쇳대박물관,37.59950589,126.9556793,서울특별시 종로구 이화장길 100 ,최홍규,최홍규,이화장길
49,쉼박물관,37.56986879,126.9776582,서울특별시 종로구 세검정로 209-17,남은정,남은정,세검정로
50,신문박물관 PRESSEUM,37.51966412,126.93990919999999,서울특별시 종로구 세종대로 152,신문박물관 설립추진위원회?,신문박물관 설립추진위원회?,세종대로
51,아쿠아플라넷63,37.55346737,126.98040359999999,서울특별시 영등포구 63로 50,한화호텔앤드리조트,한화호텔앤드리조트,63로
52,안중근의사기념관,37.61189018,126.9717567,서울특별시 중구 소월로 91,국가보훈처,국가보훈처,소월로
53,영인문학관,37.60089578,126.99013300000001,서울특별시 종로구 평창30길 81,강인숙,강인숙,평창30길
54,우리옛돌박물관,126.98175049999999,37.55943913,서울특별시 성북구 대사관로 13길 66,재단법인 우리옛돌문화재단,재단법인 우리옛돌문화재단,대사관로
55,우리은행 은행사박물관,37.55656511,126.9403287,서울특별시 중구 소공로 51 우리은행 본점 지하 1층,우리은행,우리은행,소공로
