행정동코드,행정동,0509세,1014세,0514세,시군구명,키움센터_상시돌봄정원,키움센터_일시돌봄정원,키움센터_개수,초등돌봄교실_이용인원,초등돌봄교실_교실개수,지역아동센터_정원,지역아동센터_개수,방과후아카데미_정원,방과후아카데미_개수,총시설수,tfidf,돌봄교실이용비율,tfidf*이용비율,행정동별0514세/전체0514세,tfidf*이용비율*인구비율,정원 및 이용비율,tfidf*정원 및 이용비율*인구비율
1165065100,양재1동,2808,2337,5145,서초구,20.0,4.0,1.0,498.0,21.0,65.0,2.0,0.0,0.0,24.0,1.3352687934927177,0.011401359921243618,0.015223880106215192,0.007055251740158301,0.00010740830661133608,90.00005840098113,0.8478597232738111
1153078000,오류제2동,2428,2079,4507,구로구,34.0,7.0,1.0,361.0,17.0,54.0,2.0,0.0,0.0,20.0,1.1216257865338828,0.008264841228050093,0.009270059042989347,0.006180373098715931,5.7292423532799706e-05,96.00005840098113,0.6654787252797764
1150063000,방화제1동,2749,2221,4970,강서구,20.0,0.0,1.0,293.0,12.0,74.0,3.0,0.0,0.0,16.0,0.9079827795750479,0.006708029029968635,0.006090774844101034,0.006815277191173324,4.151031887157404e-05,95.00005840098113,0.5878750225178022
1138069000,진관동,3294,4090,7384,은평구,20.0,4.0,1.0,464.0,21.0,19.0,1.0,0.0,0.0,23.0,1.2818580417530088,0.01062295382220289,0.013617118784161636,0.01012555468402894,0.0001378808808879463,44.00005840098114,0.5710998007699418
1138062500,역촌동,1694,1687,3381,은평구,20.0,4.0,1.0,134.0,6.0,152.0,4.0,0.0,0.0,11.0,0.6409290208765044,0.0030678358021016964,0.0019662649968509257,0.0046363082863897405,9.116210698138043e-06,177.00005840098115,0.5259635554356159
1135063000,상계1동,1401,1505,2906,노원구,61.0,12.0,2.0,165.0,8.0,88.0,4.0,0.0,0.0,14.0,0.8011612760956306,0.0037775590100505964,0.0030264339970186827,0.003984948796287662,1.2060184513463658e-05,162.00005840098115,0.517199225825344
1174068500,길동,1422,1357,2779,강동구,0.0,0.0,0.0,255.0,13.0,129.0,5.0,0.0,0.0,18.0,1.0148042830544655,0.005838045742805467,0.005924473824466876,0.0038107958378814223,2.2576960191915804e-05,130.00005840098115,0.5027377778056372
1168070000,세곡동,3120,2490,5610,강남구,25.0,5.0,1.0,458.0,21.0,19.0,1.0,0.0,0.0,23.0,1.2818580417530088,0.010485588040019232,0.013441035351607821,0.007692898398889809,0.00010340051933580513,50.00005840098114,0.49306075975425734
1154561000,독산제1동,1618,1103,2721,금천구,0.0,0.0,0.0,341.0,15.0,113.0,4.0,0.0,0.0,19.0,1.0682150347941741,0.007806955287437899,0.008339507014007036,0.003731261415932116,3.111688074925971e-05,114.00005840098113,0.45438024070407357
1135069500,상계6.7동,1465,1463,2928,노원구,88.0,17.0,3.0,242.0,10.0,29.0,1.0,0.0,0.0,14.0,0.8011612760956306,0.005540419881407541,0.004438769862294068,0.004015117025302916,1.7822180445498394e-05,135.00005840098115,0.4342622856164947
1135059500,공릉1동,1263,1215,2478,노원구,23.0,4.0,1.0,239.0,10.0,118.0,4.0,0.0,0.0,15.0,0.8545720278353393,0.005471736990315713,0.004675993375595735,0.0033980396136272634,1.5889210723332975e-05,146.00005840098115,0.4239651316680444
1144074000,상암동,1735,2295,4030,마포구,0.0,0.0,0.0,234.0,13.0,79.0,2.0,0.0,0.0,15.0,0.8545720278353393,0.005357265505162664,0.004578169246399171,0.005526271042339738,2.530020413330608e-05,80.00005840098113,0.3778080078858766
1144073000,성산제2동,1530,1648,3178,마포구,25.0,5.0,1.0,183.0,10.0,39.0,1.0,30.0,1.0,13.0,0.7477505243559218,0.00418965635660157,0.0031328177375199453,0.004357937809567169,1.3652624868820843e-05,100.00005840098113,0.32586521852980843
1126068000,신내1동,2247,2011,4258,중랑구,22.0,4.0,1.0,269.0,13.0,35.0,1.0,0.0,0.0,15.0,0.8545720278353393,0.006158565901234003,0.0052629381507751155,0.005838923597588736,3.0729893761210843e-05,62.00005840098114,0.3093666997164484
1154571000,시흥제5동,545,586,1131,금천구,0.0,0.0,0.0,176.0,9.0,236.0,5.0,0.0,0.0,14.0,0.8011612760956306,0.0040293962773873026,0.003228196263486595,0.001550921228011475,5.006678113228685e-06,237.00005840098115,0.29448158571276184
1129066000,길음제1동,2646,2659,5305,성북구,0.0,0.0,0.0,290.0,13.0,49.0,1.0,0.0,0.0,14.0,0.8011612760956306,0.006639346138876806,0.0053191870250631395,0.0072746570420874224,3.869526135005561e-05,50.00005840098114,0.291409016320893
1174051500,강일동,1670,2467,4137,강동구,0.0,0.0,0.0,263.0,13.0,19.0,1.0,40.0,1.0,15.0,0.8545720278353393,0.006021200119050344,0.005145549195739239,0.005672998338004838,2.9190692035550833e-05,60.00005840098114,0.29087942474403927
1171057000,오금동,1491,1429,2920,송파구,0.0,0.0,0.0,211.0,10.0,91.0,3.0,0.0,0.0,13.0,0.7477505243559218,0.004830696673458641,0.003612155970583106,0.00400414676020646,1.4463602626970767e-05,92.00005840098113,0.27545763609644847
1147058000,신월3동,539,496,1035,양천구,0.0,0.0,0.0,81.0,4.0,268.0,6.0,20.0,1.0,11.0,0.6409290208765044,0.0018544380594793836,0.0011885631697382461,0.0014192780468540022,1.6869016141086998e-06,289.0000584009811,0.2628907784231892
1168072000,일원본동,1545,1815,3360,강남구,45.0,3.0,1.0,160.0,9.0,0.0,0.0,40.0,1.0,11.0,0.6409290208765044,0.003663087524897548,0.0023477791007175232,0.004607511340511543,1.081741883157198e-05,89.00005840098113,0.26282498062470033
