,정류장명,위도,경도,표준ID,ARS-ID
86,독립문역.서대문형무소역사관,37.5732126863,126.9594644024,100000072,1167
87,서대문.서울시교육청,37.5682538056,126.9645273358,100000073,1168
88,서대문역사거리.적십자병원,37.5671081521,126.9675878497,100000368,1169
89,독립문,37.5711733169,126.9615632709,100000075,1171
90,창덕궁.서울돈화문국악당,37.5775405746,126.98853944790001,100000076,1172
91,무교동,37.5692423794,126.98026817559999,100000077,1173
92,청계1가.광교,37.568684389,126.9849267193,100000078,1174
93,청계2가.수표교,37.5684371825,126.9906741813,100000079,1175
94,청계4가.세운교,37.5688691218,126.9964906282,100000080,1176
95,청계5가.광장시장,37.5694512793,126.9997973605,100000081,1177
96,원남동,37.5745325055,126.9973383362,100000102,1198
97,창덕궁.서울돈화문국악당,37.5771946373,126.9878777332,100000103,1199
98,안국역.종로경찰서.인사동,37.5757849018,126.9842425956,100000104,1200
99,조계사,37.5723660209,126.9832244185,100000105,1201
100,조계사,37.5724858087,126.9828258888,100000106,1202
101,안국동,37.5746105669,126.9827201116,100000107,1203
102,종로5가.효제동.김상옥의거터,37.5745,127.00223000000001,100000108,1204
103,종로5가.효제초등학교,37.572879013299996,127.0021442279,100000109,1205
104,종로5가,37.5705596025,127.00218265219999,100000116,1212
105,청계6가.동대문시장,37.569835110300005,127.00284942030001,100000117,1213
106,동대문,37.5717262368,127.00841262520001,100000118,1214
107,충신동,37.5740223509,127.006278812,100000119,1215
108,충신동,37.5744602778,127.0063433807,100000121,1217
109,현대그룹빌딩,37.575873,127.000533,100000122,1218
110,통신대(이화장),37.578043,127.00243700000001,100000123,1219
111,혜화역.마로니에공원,37.5811194873,127.0022769364,100000124,1220
112,혜화역.서울대병원입구,37.581063625700004,127.0019395272,100000125,1221
113,통신대(이화장),37.5781296741,127.0019937965,100000126,1222
114,이화동(이화장),37.576119355,127.0006951494,100000127,1223
115,창경궁.서울대학교병원,37.5788279947,126.9968717143,100000128,1224
116,이화동(이화장),37.575937291399995,127.00327081719999,100000129,1225
117,혜화동로터리,37.5857646257,127.0007246792,100000130,1226
118,명륜동2가.성균관대입구,37.5833334862,126.99939876229999,100000131,1227
119,혜화역.서울연극센터(장면총리가옥),37.584022814,127.0013281701,100000132,1228
120,혜화역.동성중고(장면총리가옥),37.5845697705,127.00171768870001,100000133,1229
121,종로구민회관.창신동두산아파트,37.5740926792,127.0155555279,100000135,1231
122,동묘역앞,37.571684956599995,127.0156014431,100000139,1235
123,동묘역앞,37.5718984771,127.0158879092,100000140,1236
124,청계2가교차로,37.5684809008,126.98787787049999,101000307,1237
125,창신3동주민센터,37.578413,127.015178,100000142,1238
126,숭인1동주민센터,37.5787720457,127.0155485759,100000143,1239
127,동묘역.롯데캐슬천지인,37.5741800523,127.0158023517,100000144,1240
128,신설동로터리,37.5759288312,127.0227802373,100000147,1243
129,동묘앞,37.573729219899995,127.0178163138,100000364,1245
130,구기동현대빌라,37.609682,126.956622,100000150,1246
131,광장시장,37.5694963125,126.99774379459998,100000151,1247
132,혜화경찰서,37.5725807445,126.9974787875,100000153,1249
133,서울역사박물관.김구집무실(경교장),37.5699003386,126.97213180770001,100000154,1250
134,청계3가.관수교,37.5686887917,126.9937793705,100000155,1251
135,청계6가.버들다리,37.569930386799996,127.0080377075,100000156,1252
136,청계7가.맑은내다리,37.5699975315,127.0129554377,100000157,1253
137,청계8가.영도교,37.5709465856,127.0182311268,100000158,1254
138,원남동사거리,37.5757228744,126.99821468389999,100000159,1256
139,숭인동,37.5742721533,127.0204373408,100000165,1262
140,조계사,37.572800338,126.9831609226,100000169,1267
141,세종문화회관,37.5733335205,126.9763658004,100000174,1272
142,이화동(이화장),37.576257,127.002955,100000179,1277
143,상명대정문,37.6016197182,126.95502071780001,100000180,1278
144,이북오도청,37.6130503244,126.95588829729999,100000181,1279
145,상명대입구.세검정교회,37.5994435122,126.9597921957,100000188,1286
146,상명대입구.석파랑,37.5995718125,126.95819414040001,100000189,1287
147,종로중부새마을금고,37.5724174899,127.0065911394,100000190,1288
